junction_id,survey_date,hour,total_pcu
J01,2026-05-11,08,6353.5
J01,2026-05-11,09,10362.5
J01,2026-05-11,10,8758.5
J01,2026-05-11,11,7667.0
J01,2026-05-11,12,7786.0
J01,2026-05-11,13,6820.5
J01,2026-05-11,14,6538.0
J01,2026-05-11,15,6436.5
J01,2026-05-11,16,7228.0
J01,2026-05-11,17,7747.5
J01,2026-05-11,18,9058.0
J01,2026-05-11,19,8848.0
J01,2026-05-11,20,7346.0
J01,2026-05-11,21,6901.0
J01,2026-05-11,22,5996.5
J01,2026-05-11,23,4882.5
J01,2026-05-11,00,2914.0
J01,2026-05-11,01,1234.5
J01,2026-05-11,02,681.0
J01,2026-05-11,03,501.0
J01,2026-05-11,04,1260.5
J01,2026-05-11,05,2892.0
J01,2026-05-11,06,4402.5
J01,2026-05-11,07,5629.5
J02,2026-05-11,08,4676.5
J02,2026-05-11,09,6203.0
J02,2026-05-11,10,6146.0
J02,2026-05-11,11,5915.5
J02,2026-05-11,12,6362.5
J02,2026-05-11,13,6928.0
J02,2026-05-11,14,6389.0
J02,2026-05-11,15,5542.0
J02,2026-05-11,16,5583.0
J02,2026-05-11,17,5941.0
J02,2026-05-11,18,6741.5
J02,2026-05-11,19,6836.0
J02,2026-05-11,20,5872.0
J02,2026-05-11,21,5217.5
J02,2026-05-11,22,3897.0
J02,2026-05-11,23,2527.5
J02,2026-05-11,00,1723.0
J02,2026-05-11,01,1226.0
J02,2026-05-11,02,1022.5
J02,2026-05-11,03,1117.0
J02,2026-05-11,04,1606.5
J02,2026-05-11,05,2934.0
J02,2026-05-11,06,4249.0
J02,2026-05-11,07,4840.0
J03,2026-05-11,08,7056.0
J03,2026-05-11,09,8929.5
J03,2026-05-11,10,7438.5
J03,2026-05-11,11,6582.5
J03,2026-05-11,12,6560.5
J03,2026-05-11,13,5787.5
J03,2026-05-11,14,5570.5
J03,2026-05-11,15,5160.0
J03,2026-05-11,16,5484.0
J03,2026-05-11,17,6289.0
J03,2026-05-11,18,7322.0
J03,2026-05-11,19,6417.5
J03,2026-05-11,20,5230.5
J03,2026-05-11,21,4302.5
J03,2026-05-11,22,3516.0
J03,2026-05-11,23,3103.5
J03,2026-05-11,00,1869.0
J03,2026-05-11,01,1412.5
J03,2026-05-11,02,1087.5
J03,2026-05-11,03,1073.5
J03,2026-05-11,04,1367.5
J03,2026-05-11,05,1834.0
J03,2026-05-11,06,3017.5
J03,2026-05-11,07,5294.5
J03,2026-05-12,08,7127.0
J03,2026-05-12,09,9116.5
J03,2026-05-12,10,7590.0
J03,2026-05-12,11,6703.0
J03,2026-05-12,12,6694.5
J03,2026-05-12,13,5982.0
J03,2026-05-12,14,5707.5
J03,2026-05-12,15,5307.5
J03,2026-05-12,16,5620.5
J03,2026-05-12,17,6391.0
J03,2026-05-12,18,7459.5
J03,2026-05-12,19,6593.0
J03,2026-05-12,20,5422.0
J03,2026-05-12,21,4446.0
J03,2026-05-12,22,3563.0
J03,2026-05-12,23,2966.5
J03,2026-05-12,00,1889.0
J03,2026-05-12,01,1439.0
J03,2026-05-12,02,1103.0
J03,2026-05-12,03,1065.5
J03,2026-05-12,04,1392.0
J03,2026-05-12,05,1897.5
J03,2026-05-12,06,3043.0
J03,2026-05-12,07,5324.5
J04,2026-05-11,08,5677.0
J04,2026-05-11,09,7183.0
J04,2026-05-11,10,6750.5
J04,2026-05-11,11,6519.0
J04,2026-05-11,12,6373.0
J04,2026-05-11,13,5989.5
J04,2026-05-11,14,5654.0
J04,2026-05-11,15,5272.5
J04,2026-05-11,16,5534.5
J04,2026-05-11,17,6192.0
J04,2026-05-11,18,7072.5
J04,2026-05-11,19,6810.0
J04,2026-05-11,20,6059.0
J04,2026-05-11,21,4566.5
J04,2026-05-11,22,3903.0
J04,2026-05-11,23,2807.5
J04,2026-05-11,00,2053.5
J04,2026-05-11,01,1467.5
J04,2026-05-11,02,1111.0
J04,2026-05-11,03,1199.5
J04,2026-05-11,04,1578.0
J04,2026-05-11,05,2012.0
J04,2026-05-11,06,2827.0
J04,2026-05-11,07,4527.5
J04,2026-05-12,08,5708.5
J04,2026-05-12,09,7288.0
J04,2026-05-12,10,6851.0
J04,2026-05-12,11,6591.5
J04,2026-05-12,12,6498.0
J04,2026-05-12,13,6061.0
J04,2026-05-12,14,5747.5
