junction_id,junction_name,survey_date,total_veh,total_pcu,two_wheeler,car_auto,two_wheeler_pct,car_auto_pct,am_peak_start,am_peak_pcu_hr,am_phf,pm_peak_start,pm_peak_pcu_hr,pm_phf
J01,SFS RIICO Junction,2026-05-11,176546,138245.0,84555,89680,47.9,50.8,09:00,10362.5,0.98,18:30,9340.0,0.99
J02,SFS Agrawal Junction,2026-05-11,125444,109496.0,56821,61921,45.3,49.4,12:00,6362.5,0.95,19:00,6836.0,0.97
J03,Jansunvai Junction,2026-05-11,127998,111706.0,54391,68716,42.5,53.7,09:00,8929.5,0.98,18:15,7391.5,0.93
J03,Jansunvai Junction,2026-05-12,130668,113843.0,55471,70298,42.5,53.8,09:00,9116.5,0.98,18:15,7518.0,0.94
J04,Vijay Path Junction,2026-05-11,129047,109139.5,63730,60376,49.4,46.8,09:15,7287.5,0.94,18:15,7269.5,0.96
J04,Vijay Path Junction,2026-05-12,131297,110769.5,64961,61395,49.5,46.8,09:15,7413.0,0.95,18:15,7420.5,0.95
J05,Patel Marg Junction,2026-05-11,128195,102356.5,69210,55099,54.0,43.0,09:15,6894.0,0.98,18:30,7187.0,0.98
J05,Patel Marg Junction,2026-05-12,132322,105588.0,71016,57417,53.7,43.4,09:15,7147.5,0.98,18:30,7457.0,0.98
J06,VT Road Junction,2026-05-11,153323,124860.5,78444,70185,51.2,45.8,11:30,8570.0,0.98,18:30,8307.0,0.96
J06,VT Road Junction,2026-05-12,156066,126899.5,79852,71522,51.2,45.8,11:30,8691.5,0.99,18:45,8447.0,0.96
J07,Rajat Path Junction,2026-05-11,127981,101201.0,62587,63260,48.9,49.4,09:45,9268.5,0.92,18:30,7972.0,0.93
J07,Rajat Path Junction,2026-05-12,131819,104063.5,64538,65147,49.0,49.4,09:15,9482.0,0.93,18:30,8237.0,0.93
J08,Bhrigu Path Junction,2026-05-11,114811,91561.5,55446,57073,48.3,49.7,09:15,6848.5,0.98,18:30,6330.5,0.97
J08,Bhrigu Path Junction,2026-05-12,119021,94748.0,57506,59221,48.3,49.8,09:15,7109.5,0.98,18:30,6589.0,0.97
