junction_id,survey_date,from_approach,L,R,S,approach_pcu_hr
J01,2026-05-11,B2BYPASS,194.0,1481.0,532.5,2207.5
J01,2026-05-11,RICCO,164.0,133.0,1093.5,1390.5
J01,2026-05-11,SHIPRA PATH,1459.0,1159.5,1273.5,3892.0
J01,2026-05-11,SUMER NAGAR,980.5,241.5,628.0,1850.0
J02,2026-05-11,B2BYPASS,325.5,327.5,1927.0,2580.0
J02,2026-05-11,MADHYAM MARG,240.5,596.5,236.0,1073.0
J02,2026-05-11,SFS,174.0,201.0,384.5,759.5
J02,2026-05-11,SUMER NAGAR,590.0,119.5,1714.0,2423.5
J03,2026-05-11,Mansarover Metro,807.5,164.5,1394.0,2366.0
J03,2026-05-11,Patrika Gate,610.0,543.5,611.0,1764.5
J03,2026-05-11,Sanganer Stadium,321.0,647.0,1329.0,2297.0
J03,2026-05-11,Sumer Nagar,48.0,437.5,478.5,964.0
J03,2026-05-12,Mansarover Metro,824.5,170.0,1414.0,2408.5
J03,2026-05-12,Patrika Gate,620.5,564.5,645.0,1830.0
J03,2026-05-12,Sanganer Stadium,334.5,654.5,1301.0,2290.0
J03,2026-05-12,Sumer Nagar,49.0,448.5,492.0,989.5
J04,2026-05-11,Durgapur,25.5,167.5,771.5,964.5
J04,2026-05-11,Mansarover Metro,88.0,733.0,1502.0,2323.0
J04,2026-05-11,Mohanpura,547.5,385.5,487.5,1420.5
J04,2026-05-11,Sanganer Stadium,252.5,44.0,2265.0,2561.5
J04,2026-05-12,Durgapur,32.5,173.0,781.0,986.5
J04,2026-05-12,Mansarover Metro,94.0,759.0,1524.0,2377.0
J04,2026-05-12,Mohanpura,555.5,401.5,492.5,1449.5
J04,2026-05-12,Sanganer Stadium,267.0,53.5,2287.0,2607.5
J05,2026-05-11,Mansarover Metro,131.5,238.0,2262.5,2632.0
J05,2026-05-11,Patel Marg Crossing,153.5,177.0,396.5,727.0
J05,2026-05-11,Sanganer Stadium,266.5,277.5,2583.5,3127.5
J05,2026-05-11,Sumer Nagar,172.0,267.5,261.0,700.5
J05,2026-05-12,Mansarover Metro,149.0,260.5,2294.0,2703.5
J05,2026-05-12,Patel Marg Crossing,167.0,194.5,451.5,813.0
J05,2026-05-12,Sanganer Stadium,287.5,278.5,2586.5,3152.5
J05,2026-05-12,Sumer Nagar,187.5,306.0,294.5,788.0
J06,2026-05-11,Dholai,881.0,154.5,1140.0,2175.5
J06,2026-05-11,Mansarover Metro,323.5,695.5,1744.5,2763.5
J06,2026-05-11,Sanganer Stadium,28.5,243.0,2427.5,2699.0
J06,2026-05-11,VT Road,188.5,237.5,243.0,669.0
J06,2026-05-12,Dholai,840.0,196.5,1176.5,2213.0
J06,2026-05-12,Mansarover Metro,337.5,686.5,1781.5,2805.5
J06,2026-05-12,Sanganer Stadium,33.5,249.5,2456.5,2739.5
J06,2026-05-12,VT Road,174.5,255.5,259.0,689.0
J07,2026-05-11,Mangyawas,329.0,192.0,178.5,699.5
J07,2026-05-11,Mansarover Metro,140.0,372.5,3039.5,3552.0
J07,2026-05-11,Rajatpath,109.5,136.0,440.0,685.5
J07,2026-05-11,Sanganer Stadium,296.0,250.5,2488.5,3035.0
J07,2026-05-12,Mangyawas,348.0,199.5,187.0,734.5
J07,2026-05-12,Mansarover Metro,149.0,410.0,3079.0,3638.0
J07,2026-05-12,Rajatpath,121.5,146.0,480.5,748.0
J07,2026-05-12,Sanganer Stadium,324.0,267.5,2525.0,3116.5
J08,2026-05-11,Mansarover,28.5,54.5,70.0,153.0
J08,2026-05-11,Mansarover Metro,631.0,143.5,2034.5,2809.0
J08,2026-05-11,New Aatish Market,263.5,280.5,172.0,716.0
J08,2026-05-11,Sanganer Stadium,44.5,323.0,2285.0,2652.5
J08,2026-05-12,Mansarover,31.5,63.5,82.0,177.0
J08,2026-05-12,Mansarover Metro,644.5,158.0,2079.5,2882.0
J08,2026-05-12,New Aatish Market,294.0,328.0,197.5,819.5
J08,2026-05-12,Sanganer Stadium,49.5,328.0,2333.0,2710.5
