trial,main_lanes,cross_lanes,tau_s,two_wheeler_min_gap_lat_m,speed_factor,turn_lanes,calibration_geh_share,validation_geh_share,unserved_share,teleports,runtime_s
2,3,1,1.2574202194787614,0.4211287432507522,1.046801354900662,dedicated_right,0.1562,0.1389,0.5464,482,1056
0,3,2,1.0,0.3,1.0,auto,0.3507,0.2778,0.3242,414,1817
1,4,3,1.0,0.3,1.0,auto,0.4653,0.4398,0.1919,773,1982
4,2,1,1.1272921165052683,0.44285172587602845,0.9483087856196146,dedicated_right,0.1111,0.088,0.6093,99,358
3,3,2,1.031820457925022,0.11601909479761563,1.0112805593472431,dedicated_right,0.3125,0.2593,0.3746,561,1196
7,4,1,0.8694314571852608,0.12242309739686719,0.9700258840281867,dedicated_right,0.1319,0.1157,0.1811,89195,99
5,3,3,1.1084127877289387,0.3816442237472899,0.9516126274670158,auto,0.4167,0.3426,0.2235,546,438
6,3,2,1.1241185260562148,0.3008037334222369,0.9724565624995071,dedicated_right,0.2674,0.2546,0.3781,510,386
8,4,1,1.1286226689242942,0.23836237876485736,1.0328551812538234,auto,0.1771,0.1204,0.4713,637,384
10,2,1,1.239422737215572,0.4249772280574541,1.0320196544848455,dedicated_right,0.1146,0.088,0.6129,118,238
9,4,1,1.2599224471810326,0.19266287347496452,0.9858382337545742,auto,0.184,0.1157,0.4865,647,390
12,4,2,0.8093147500770053,0.2140035764861042,0.9005605458969981,auto,0.2083,0.1667,0.0254,95363,91
11,4,1,0.9596641725360442,0.38962991056402396,1.0909283219415273,dedicated_right,0.1944,0.162,0.4403,15650,316
14,3,3,1.1108785176072935,0.32337167920138316,0.9380027178701159,auto,0.4167,0.3889,0.2294,572,400
13,4,3,1.1827951556652339,0.27860765569591794,1.0314422080102916,auto,0.3438,0.2963,0.2377,1257,627
18,4,3,0.8673498363636267,0.42837179477679993,0.9398230745253097,auto,0.3264,0.2407,0.0143,74845,81
21,3,3,0.9022206252606544,0.34454383431822877,0.9601815923351851,auto,0.3611,0.287,0.0516,62922,95
20,4,3,0.9462597978763736,0.1727566286490226,1.0359977060256187,auto,0.4236,0.338,0.115,33117,227
23,4,3,0.9249261304492035,0.3829133608019182,1.048309727714619,auto,0.3993,0.3333,0.0755,49025,158
19,4,2,1.0881050496171671,0.3757906402422903,0.9876961280447092,auto,0.3438,0.3056,0.2973,779,462
24,4,3,0.9127867674694992,0.13831002214008073,1.039194276588289,auto,0.4028,0.3287,0.0592,55387,110
22,3,3,1.0279897318042106,0.24330896390254012,1.0135764892565957,auto,0.4028,0.3056,0.2351,740,460
26,4,3,0.9475593488617484,0.2560745169973305,0.9883241349457945,auto,0.4132,0.3519,0.1187,31330,264
25,4,2,1.0938613263781896,0.2884985458998528,1.051714564773092,auto,0.3924,0.338,0.2723,695,343
27,3,3,0.9870280005274411,0.13679261323840974,1.0077327154408606,auto,0.4236,0.3657,0.2087,4031,416
28,4,3,1.0931541229622193,0.3991262375197774,0.9862082519768741,auto,0.3715,0.3241,0.2178,1084,507
29,4,3,1.0628600866203726,0.13893963635696732,1.0466271073187094,auto,0.4062,0.3519,0.222,1286,604
30,4,3,1.0402682435858825,0.14795270262859272,1.0031601426243812,auto,0.3889,0.3194,0.189,1075,435
32,3,3,0.852452440714832,0.18940152230515497,0.9864286666437182,auto,0.2569,0.1944,0.0106,84298,84
31,4,3,0.9734782001089741,0.19461624975109074,1.0384833761296541,auto,0.4167,0.3241,0.1706,12674,374
